"partner","geo","values","iso2","type"
"Iceland","Bulgaria",0,"BG","incoming"
"Iceland","Switzerland",1,"CH","incoming"
"Iceland","Cyprus",NA,"CY","incoming"
"Iceland","Czech Republic",NA,"CZ","incoming"
"Iceland","Germany (until 1990 former territory of the FRG)",0,"DE","incoming"
"Iceland","Denmark",2,"DK","incoming"
"Iceland","Estonia",0,"EE","incoming"
"Iceland","Greece",0,"EL","incoming"
"Iceland","Spain",NA,"ES","incoming"
"Iceland","Finland",NA,"FI","incoming"
"Iceland","France",4,"FR","incoming"
"Iceland","Croatia",0,"HR","incoming"
"Iceland","Hungary",0,"HU","incoming"
"Iceland","Ireland",0,"IE","incoming"
"Iceland","Iceland",NA,"IS","incoming"
"Iceland","Italy",NA,"IT","incoming"
"Iceland","Liechtenstein",0,"LI","incoming"
"Iceland","Lithuania",0,"LT","incoming"
"Iceland","Luxembourg",0,"LU","incoming"
"Iceland","Latvia",0,"LV","incoming"
"Iceland","Malta",1,"MT","incoming"
"Iceland","Netherlands",NA,"NL","incoming"
"Iceland","Norway",NA,"NO","incoming"
"Iceland","Poland",NA,"PL","incoming"
"Iceland","Portugal",NA,"PT","incoming"
"Iceland","Romania",0,"RO","incoming"
"Iceland","Sweden",0,"SE","incoming"
"Iceland","Slovenia",0,"SI","incoming"
"Iceland","Slovakia",0,"SK","incoming"
"Iceland","United Kingdom",0,"UK","incoming"
"Italy","Austria",NA,"AT","incoming"
"Italy","Belgium",3,"BE","incoming"
"Italy","Bulgaria",0,"BG","incoming"
"Italy","Switzerland",1,"CH","incoming"
"Italy","Cyprus",NA,"CY","incoming"
"Italy","Czech Republic",NA,"CZ","incoming"
"Italy","Germany (until 1990 former territory of the FRG)",1,"DE","incoming"
"Italy","Denmark",0,"DK","incoming"
"Italy","Estonia",0,"EE","incoming"
"Italy","Greece",0,"EL","incoming"
"Italy","Spain",NA,"ES","incoming"
"Italy","Finland",NA,"FI","incoming"
"Italy","France",1,"FR","incoming"
"Italy","Croatia",0,"HR","incoming"
"Italy","Hungary",0,"HU","incoming"
"Italy","Ireland",0,"IE","incoming"
"Italy","Iceland",NA,"IS","incoming"
"Italy","Italy",NA,"IT","incoming"
"Italy","Liechtenstein",0,"LI","incoming"
"Italy","Lithuania",0,"LT","incoming"
"Italy","Luxembourg",0,"LU","incoming"
"Italy","Latvia",0,"LV","incoming"
"Italy","Malta",0,"MT","incoming"
"Italy","Netherlands",NA,"NL","incoming"
"Italy","Norway",NA,"NO","incoming"
"Italy","Poland",NA,"PL","incoming"
"Italy","Portugal",NA,"PT","incoming"
"Italy","Romania",0,"RO","incoming"
"Italy","Sweden",0,"SE","incoming"
"Italy","Slovenia",1,"SI","incoming"
"Italy","Slovakia",0,"SK","incoming"
"Italy","United Kingdom",0,"UK","incoming"
"Liechtenstein","Austria",NA,"AT","incoming"
"Liechtenstein","Belgium",0,"BE","incoming"
"Liechtenstein","Bulgaria",0,"BG","incoming"
"Liechtenstein","Switzerland",1,"CH","incoming"
"Liechtenstein","Cyprus",NA,"CY","incoming"
"Liechtenstein","Germany (until 1990 former territory of the FRG)",1,"DE","incoming"
"Liechtenstein","Denmark",0,"DK","incoming"
"Liechtenstein","Estonia",0,"EE","incoming"
"Liechtenstein","Greece",0,"EL","incoming"
"Liechtenstein","Spain",NA,"ES","incoming"
"Liechtenstein","Finland",NA,"FI","incoming"
"Liechtenstein","France",0,"FR","incoming"
"Liechtenstein","Croatia",0,"HR","incoming"
"Liechtenstein","Hungary",0,"HU","incoming"
"Liechtenstein","Ireland",0,"IE","incoming"
"Liechtenstein","Italy",NA,"IT","incoming"
"Liechtenstein","Liechtenstein",0,"LI","incoming"
"Liechtenstein","Lithuania",0,"LT","incoming"
"Liechtenstein","Luxembourg",0,"LU","incoming"
"Liechtenstein","Latvia",0,"LV","incoming"
"Liechtenstein","Malta",0,"MT","incoming"
"Liechtenstein","Norway",NA,"NO","incoming"
"Liechtenstein","Romania",0,"RO","incoming"
"Liechtenstein","Sweden",0,"SE","incoming"
"Liechtenstein","Slovenia",0,"SI","incoming"
"Liechtenstein","Slovakia",0,"SK","incoming"
"Liechtenstein","United Kingdom",0,"UK","incoming"
"Lithuania","Austria",NA,"AT","incoming"
"Lithuania","Belgium",1,"BE","incoming"
"Lithuania","Bulgaria",0,"BG","incoming"
"Lithuania","Switzerland",0,"CH","incoming"
"Lithuania","Cyprus",NA,"CY","incoming"
"Lithuania","Czech Republic",NA,"CZ","incoming"
"Lithuania","Germany (until 1990 former territory of the FRG)",2,"DE","incoming"
"Lithuania","Denmark",0,"DK","incoming"
"Lithuania","Estonia",0,"EE","incoming"
"Lithuania","Greece",0,"EL","incoming"
"Lithuania","Spain",NA,"ES","incoming"
"Lithuania","Finland",NA,"FI","incoming"
"Lithuania","France",1,"FR","incoming"
"Lithuania","Croatia",0,"HR","incoming"
"Lithuania","Hungary",0,"HU","incoming"
"Lithuania","Ireland",0,"IE","incoming"
"Lithuania","Iceland",NA,"IS","incoming"
"Lithuania","Italy",NA,"IT","incoming"
"Lithuania","Liechtenstein",0,"LI","incoming"
"Lithuania","Lithuania",0,"LT","incoming"
"Lithuania","Luxembourg",0,"LU","incoming"
"Lithuania","Latvia",0,"LV","incoming"
"Lithuania","Malta",0,"MT","incoming"
"Lithuania","Netherlands",NA,"NL","incoming"
"Lithuania","Norway",NA,"NO","incoming"
"Lithuania","Poland",NA,"PL","incoming"
"Lithuania","Portugal",NA,"PT","incoming"
"Lithuania","Romania",0,"RO","incoming"
"Lithuania","Sweden",0,"SE","incoming"
"Lithuania","Slovenia",0,"SI","incoming"
"Lithuania","Slovakia",0,"SK","incoming"
"Lithuania","United Kingdom",0,"UK","incoming"
"Luxembourg","Austria",NA,"AT","incoming"
"Luxembourg","Belgium",15,"BE","incoming"
"Luxembourg","Bulgaria",0,"BG","incoming"
"Luxembourg","Switzerland",14,"CH","incoming"
"Luxembourg","Cyprus",NA,"CY","incoming"
"Luxembourg","Czech Republic",NA,"CZ","incoming"
"Luxembourg","Germany (until 1990 former territory of the FRG)",20,"DE","incoming"
"Luxembourg","Denmark",4,"DK","incoming"
"Luxembourg","Estonia",0,"EE","incoming"
"Luxembourg","Greece",0,"EL","incoming"
"Luxembourg","Spain",NA,"ES","incoming"
"Luxembourg","Finland",NA,"FI","incoming"
"Luxembourg","France",11,"FR","incoming"
"Luxembourg","Croatia",0,"HR","incoming"
"Luxembourg","Hungary",12,"HU","incoming"
"Luxembourg","Ireland",0,"IE","incoming"
"Luxembourg","Iceland",NA,"IS","incoming"
"Luxembourg","Italy",NA,"IT","incoming"
"Luxembourg","Liechtenstein",0,"LI","incoming"
"Luxembourg","Lithuania",0,"LT","incoming"
"Luxembourg","Luxembourg",0,"LU","incoming"
"Luxembourg","Latvia",0,"LV","incoming"
"Luxembourg","Malta",0,"MT","incoming"
"Luxembourg","Netherlands",NA,"NL","incoming"
"Luxembourg","Norway",NA,"NO","incoming"
"Luxembourg","Poland",NA,"PL","incoming"
"Luxembourg","Portugal",NA,"PT","incoming"
"Luxembourg","Romania",1,"RO","incoming"
"Luxembourg","Sweden",0,"SE","incoming"
"Luxembourg","Slovenia",1,"SI","incoming"
"Luxembourg","Slovakia",0,"SK","incoming"
"Luxembourg","United Kingdom",1,"UK","incoming"
"Latvia","Austria",NA,"AT","incoming"
"Latvia","Belgium",0,"BE","incoming"
"Latvia","Bulgaria",0,"BG","incoming"
"Latvia","Switzerland",0,"CH","incoming"
"Latvia","Cyprus",NA,"CY","incoming"
"Latvia","Czech Republic",NA,"CZ","incoming"
"Latvia","Germany (until 1990 former territory of the FRG)",0,"DE","incoming"
"Latvia","Denmark",0,"DK","incoming"
"Latvia","Estonia",0,"EE","incoming"
"Latvia","Greece",0,"EL","incoming"
"Latvia","Spain",NA,"ES","incoming"
"Latvia","Finland",NA,"FI","incoming"
"Latvia","France",0,"FR","incoming"
"Latvia","Croatia",0,"HR","incoming"
"Latvia","Hungary",0,"HU","incoming"
"Latvia","Ireland",0,"IE","incoming"
"Latvia","Iceland",NA,"IS","incoming"
"Latvia","Italy",NA,"IT","incoming"
"Latvia","Liechtenstein",0,"LI","incoming"
"Latvia","Lithuania",2,"LT","incoming"
"Latvia","Luxembourg",0,"LU","incoming"
"Latvia","Latvia",0,"LV","incoming"
"Latvia","Malta",0,"MT","incoming"
"Latvia","Netherlands",NA,"NL","incoming"
"Latvia","Norway",NA,"NO","incoming"
"Latvia","Poland",NA,"PL","incoming"
"Latvia","Portugal",NA,"PT","incoming"
"Latvia","Romania",0,"RO","incoming"
"Latvia","Sweden",0,"SE","incoming"
"Latvia","Slovenia",0,"SI","incoming"
"Latvia","Slovakia",0,"SK","incoming"
"Latvia","United Kingdom",0,"UK","incoming"
"Malta","Austria",NA,"AT","incoming"
"Malta","Belgium",1,"BE","incoming"
"Malta","Bulgaria",0,"BG","incoming"
"Malta","Switzerland",0,"CH","incoming"
"Malta","Cyprus",NA,"CY","incoming"
"Malta","Czech Republic",NA,"CZ","incoming"
"Malta","Germany (until 1990 former territory of the FRG)",0,"DE","incoming"
"Malta","Denmark",0,"DK","incoming"
"Malta","Estonia",0,"EE","incoming"
"Malta","Greece",0,"EL","incoming"
"Malta","Spain",NA,"ES","incoming"
"Malta","Finland",NA,"FI","incoming"
"Malta","France",0,"FR","incoming"
"Malta","Croatia",0,"HR","incoming"
"Malta","Hungary",0,"HU","incoming"
"Malta","Ireland",0,"IE","incoming"
"Malta","Iceland",NA,"IS","incoming"
"Malta","Italy",NA,"IT","incoming"
"Malta","Liechtenstein",0,"LI","incoming"
"Malta","Lithuania",0,"LT","incoming"
"Malta","Luxembourg",0,"LU","incoming"
"Malta","Latvia",0,"LV","incoming"
"Malta","Malta",0,"MT","incoming"
"Malta","Netherlands",NA,"NL","incoming"
"Malta","Norway",NA,"NO","incoming"
"Malta","Poland",NA,"PL","incoming"
"Malta","Portugal",NA,"PT","incoming"
"Malta","Romania",0,"RO","incoming"
"Malta","Sweden",0,"SE","incoming"
"Malta","Slovenia",0,"SI","incoming"
"Malta","Slovakia",0,"SK","incoming"
"Malta","United Kingdom",1,"UK","incoming"
"Netherlands","Austria",NA,"AT","incoming"
"Netherlands","Belgium",108,"BE","incoming"
"Netherlands","Bulgaria",0,"BG","incoming"
"Netherlands","Switzerland",72,"CH","incoming"
"Netherlands","Cyprus",NA,"CY","incoming"
"Netherlands","Czech Republic",NA,"CZ","incoming"
"Netherlands","Germany (until 1990 former territory of the FRG)",119,"DE","incoming"
"Netherlands","Denmark",5,"DK","incoming"
"Netherlands","Estonia",4,"EE","incoming"
"Netherlands","Greece",0,"EL","incoming"
"Netherlands","Spain",NA,"ES","incoming"
"Netherlands","Finland",NA,"FI","incoming"
"Netherlands","France",176,"FR","incoming"
"Netherlands","Croatia",2,"HR","incoming"
"Netherlands","Hungary",21,"HU","incoming"
"Netherlands","Ireland",1,"IE","incoming"
"Netherlands","Iceland",NA,"IS","incoming"
"Netherlands","Italy",NA,"IT","incoming"
"Netherlands","Liechtenstein",0,"LI","incoming"
"Netherlands","Lithuania",1,"LT","incoming"
"Netherlands","Luxembourg",11,"LU","incoming"
"Netherlands","Latvia",1,"LV","incoming"
"Netherlands","Malta",32,"MT","incoming"
"Netherlands","Netherlands",NA,"NL","incoming"
"Netherlands","Norway",NA,"NO","incoming"
"Netherlands","Poland",NA,"PL","incoming"
"Netherlands","Portugal",NA,"PT","incoming"
"Netherlands","Romania",2,"RO","incoming"
"Netherlands","Sweden",0,"SE","incoming"
"Netherlands","Slovenia",1,"SI","incoming"
"Netherlands","Slovakia",5,"SK","incoming"
"Netherlands","United Kingdom",6,"UK","incoming"
"Norway","Austria",NA,"AT","incoming"
"Norway","Belgium",38,"BE","incoming"
"Norway","Bulgaria",6,"BG","incoming"
"Norway","Switzerland",69,"CH","incoming"
"Norway","Cyprus",NA,"CY","incoming"
"Norway","Czech Republic",NA,"CZ","incoming"
"Norway","Germany (until 1990 former territory of the FRG)",156,"DE","incoming"
"Norway","Denmark",24,"DK","incoming"
"Norway","Estonia",0,"EE","incoming"
"Norway","Greece",0,"EL","incoming"
"Norway","Spain",NA,"ES","incoming"
"Norway","Finland",NA,"FI","incoming"
"Norway","France",141,"FR","incoming"
"Norway","Croatia",1,"HR","incoming"
"Norway","Hungary",38,"HU","incoming"
"Norway","Ireland",1,"IE","incoming"
"Norway","Iceland",NA,"IS","incoming"
"Norway","Italy",NA,"IT","incoming"
"Norway","Liechtenstein",0,"LI","incoming"
"Norway","Lithuania",4,"LT","incoming"
"Norway","Luxembourg",2,"LU","incoming"
"Norway","Latvia",6,"LV","incoming"
"Norway","Malta",31,"MT","incoming"
"Norway","Netherlands",NA,"NL","incoming"
"Norway","Norway",NA,"NO","incoming"
"Norway","Poland",NA,"PL","incoming"
"Norway","Portugal",NA,"PT","incoming"
"Norway","Romania",5,"RO","incoming"
"Norway","Sweden",0,"SE","incoming"
"Norway","Slovenia",2,"SI","incoming"
"Norway","Slovakia",11,"SK","incoming"
"Norway","United Kingdom",7,"UK","incoming"
"Poland","Austria",NA,"AT","incoming"
"Poland","Belgium",11,"BE","incoming"
"Poland","Bulgaria",0,"BG","incoming"
"Poland","Switzerland",2,"CH","incoming"
"Poland","Cyprus",NA,"CY","incoming"
"Poland","Czech Republic",NA,"CZ","incoming"
"Poland","Germany (until 1990 former territory of the FRG)",24,"DE","incoming"
"Poland","Denmark",5,"DK","incoming"
"Poland","Estonia",1,"EE","incoming"
"Poland","Greece",0,"EL","incoming"
"Poland","Spain",NA,"ES","incoming"
"Poland","Finland",NA,"FI","incoming"
"Poland","France",4,"FR","incoming"
"Poland","Croatia",0,"HR","incoming"
"Poland","Hungary",7,"HU","incoming"
"Poland","Ireland",0,"IE","incoming"
"Poland","Iceland",NA,"IS","incoming"
"Poland","Italy",NA,"IT","incoming"
"Poland","Liechtenstein",0,"LI","incoming"
"Poland","Lithuania",4,"LT","incoming"
"Poland","Luxembourg",0,"LU","incoming"
"Poland","Latvia",0,"LV","incoming"
"Poland","Malta",0,"MT","incoming"
"Poland","Netherlands",NA,"NL","incoming"
"Poland","Norway",NA,"NO","incoming"
"Poland","Poland",NA,"PL","incoming"
"Poland","Portugal",NA,"PT","incoming"
"Poland","Romania",0,"RO","incoming"
"Poland","Sweden",0,"SE","incoming"
"Poland","Slovenia",0,"SI","incoming"
"Poland","Slovakia",0,"SK","incoming"
"Poland","United Kingdom",1,"UK","incoming"
"Portugal","Austria",NA,"AT","incoming"
"Portugal","Belgium",2,"BE","incoming"
"Portugal","Bulgaria",0,"BG","incoming"
"Portugal","Switzerland",1,"CH","incoming"
"Portugal","Cyprus",NA,"CY","incoming"
"Portugal","Czech Republic",NA,"CZ","incoming"
"Portugal","Germany (until 1990 former territory of the FRG)",3,"DE","incoming"
"Portugal","Denmark",0,"DK","incoming"
"Portugal","Estonia",0,"EE","incoming"
"Portugal","Greece",0,"EL","incoming"
"Portugal","Spain",NA,"ES","incoming"
"Portugal","Finland",NA,"FI","incoming"
"Portugal","France",2,"FR","incoming"
"Portugal","Croatia",0,"HR","incoming"
"Portugal","Hungary",0,"HU","incoming"
"Portugal","Ireland",0,"IE","incoming"
"Portugal","Iceland",NA,"IS","incoming"
"Portugal","Italy",NA,"IT","incoming"
"Portugal","Liechtenstein",0,"LI","incoming"
"Portugal","Lithuania",0,"LT","incoming"
"Portugal","Luxembourg",0,"LU","incoming"
"Portugal","Latvia",0,"LV","incoming"
"Portugal","Malta",0,"MT","incoming"
"Portugal","Netherlands",NA,"NL","incoming"
"Portugal","Norway",NA,"NO","incoming"
"Portugal","Poland",NA,"PL","incoming"
"Portugal","Portugal",NA,"PT","incoming"
"Portugal","Romania",0,"RO","incoming"
"Portugal","Sweden",0,"SE","incoming"
"Portugal","Slovenia",0,"SI","incoming"
"Portugal","Slovakia",0,"SK","incoming"
"Portugal","United Kingdom",0,"UK","incoming"
"Romania","Austria",NA,"AT","incoming"
"Romania","Belgium",0,"BE","incoming"
"Romania","Bulgaria",0,"BG","incoming"
"Romania","Switzerland",0,"CH","incoming"
"Romania","Cyprus",NA,"CY","incoming"
"Romania","Czech Republic",NA,"CZ","incoming"
"Romania","Germany (until 1990 former territory of the FRG)",5,"DE","incoming"
"Romania","Denmark",0,"DK","incoming"
"Romania","Estonia",0,"EE","incoming"
"Romania","Greece",0,"EL","incoming"
"Romania","Spain",NA,"ES","incoming"
"Romania","Finland",NA,"FI","incoming"
"Romania","France",1,"FR","incoming"
"Romania","Croatia",0,"HR","incoming"
"Romania","Hungary",0,"HU","incoming"
"Romania","Ireland",0,"IE","incoming"
"Romania","Iceland",NA,"IS","incoming"
"Romania","Italy",NA,"IT","incoming"
"Romania","Liechtenstein",0,"LI","incoming"
"Romania","Lithuania",0,"LT","incoming"
"Romania","Luxembourg",0,"LU","incoming"
"Romania","Latvia",0,"LV","incoming"
"Romania","Malta",0,"MT","incoming"
"Romania","Netherlands",NA,"NL","incoming"
"Romania","Norway",NA,"NO","incoming"
"Romania","Poland",NA,"PL","incoming"
"Romania","Portugal",NA,"PT","incoming"
"Romania","Romania",0,"RO","incoming"
"Romania","Sweden",0,"SE","incoming"
"Romania","Slovenia",0,"SI","incoming"
"Romania","Slovakia",0,"SK","incoming"
"Romania","United Kingdom",2,"UK","incoming"
"Sweden","Austria",NA,"AT","incoming"
"Sweden","Belgium",108,"BE","incoming"
"Sweden","Bulgaria",9,"BG","incoming"
"Sweden","Switzerland",118,"CH","incoming"
"Sweden","Cyprus",NA,"CY","incoming"
"Sweden","Czech Republic",NA,"CZ","incoming"
"Sweden","Germany (until 1990 former territory of the FRG)",393,"DE","incoming"
"Sweden","Denmark",161,"DK","incoming"
"Sweden","Estonia",2,"EE","incoming"
"Sweden","Greece",0,"EL","incoming"
"Sweden","Spain",NA,"ES","incoming"
"Sweden","Finland",NA,"FI","incoming"
"Sweden","France",288,"FR","incoming"
"Sweden","Croatia",0,"HR","incoming"
"Sweden","Hungary",55,"HU","incoming"
"Sweden","Ireland",1,"IE","incoming"
"Sweden","Iceland",NA,"IS","incoming"
"Sweden","Italy",NA,"IT","incoming"
"Sweden","Liechtenstein",0,"LI","incoming"
"Sweden","Lithuania",11,"LT","incoming"
"Sweden","Luxembourg",0,"LU","incoming"
"Sweden","Latvia",14,"LV","incoming"
"Sweden","Malta",95,"MT","incoming"
"Sweden","Netherlands",NA,"NL","incoming"
"Sweden","Norway",NA,"NO","incoming"
"Sweden","Poland",NA,"PL","incoming"
"Sweden","Portugal",NA,"PT","incoming"
"Sweden","Romania",4,"RO","incoming"
"Sweden","Sweden",0,"SE","incoming"
"Sweden","Slovenia",5,"SI","incoming"
"Sweden","Slovakia",7,"SK","incoming"
"Sweden","United Kingdom",3,"UK","incoming"
"Slovenia","Austria",NA,"AT","incoming"
"Slovenia","Belgium",0,"BE","incoming"
"Slovenia","Bulgaria",0,"BG","incoming"
"Slovenia","Switzerland",1,"CH","incoming"
"Slovenia","Cyprus",NA,"CY","incoming"
"Slovenia","Czech Republic",NA,"CZ","incoming"
"Slovenia","Germany (until 1990 former territory of the FRG)",2,"DE","incoming"
"Slovenia","Denmark",0,"DK","incoming"
"Slovenia","Estonia",0,"EE","incoming"
"Slovenia","Greece",0,"EL","incoming"
"Slovenia","Spain",NA,"ES","incoming"
"Slovenia","Finland",NA,"FI","incoming"
"Slovenia","France",0,"FR","incoming"
"Slovenia","Croatia",1,"HR","incoming"
"Slovenia","Hungary",6,"HU","incoming"
"Slovenia","Ireland",0,"IE","incoming"
"Slovenia","Iceland",NA,"IS","incoming"
"Slovenia","Italy",NA,"IT","incoming"
"Slovenia","Liechtenstein",0,"LI","incoming"
"Slovenia","Lithuania",0,"LT","incoming"
"Slovenia","Luxembourg",0,"LU","incoming"
"Slovenia","Latvia",0,"LV","incoming"
"Slovenia","Malta",0,"MT","incoming"
"Slovenia","Netherlands",NA,"NL","incoming"
"Slovenia","Norway",NA,"NO","incoming"
"Slovenia","Poland",NA,"PL","incoming"
"Slovenia","Portugal",NA,"PT","incoming"
"Slovenia","Romania",0,"RO","incoming"
"Slovenia","Sweden",0,"SE","incoming"
"Slovenia","Slovenia",0,"SI","incoming"
"Slovenia","Slovakia",0,"SK","incoming"
"Slovenia","United Kingdom",0,"UK","incoming"
"Slovakia","Austria",NA,"AT","incoming"
"Slovakia","Belgium",0,"BE","incoming"
"Slovakia","Bulgaria",17,"BG","incoming"
"Slovakia","Switzerland",0,"CH","incoming"
"Slovakia","Cyprus",NA,"CY","incoming"
"Slovakia","Czech Republic",NA,"CZ","incoming"
"Slovakia","Germany (until 1990 former territory of the FRG)",1,"DE","incoming"
"Slovakia","Denmark",0,"DK","incoming"
"Slovakia","Estonia",0,"EE","incoming"
"Slovakia","Greece",0,"EL","incoming"
"Slovakia","Spain",NA,"ES","incoming"
"Slovakia","Finland",NA,"FI","incoming"
"Slovakia","France",1,"FR","incoming"
"Slovakia","Croatia",0,"HR","incoming"
"Slovakia","Hungary",21,"HU","incoming"
"Slovakia","Ireland",0,"IE","incoming"
"Slovakia","Iceland",NA,"IS","incoming"
"Slovakia","Italy",NA,"IT","incoming"
"Slovakia","Liechtenstein",0,"LI","incoming"
"Slovakia","Lithuania",0,"LT","incoming"
"Slovakia","Luxembourg",0,"LU","incoming"
"Slovakia","Latvia",0,"LV","incoming"
"Slovakia","Malta",0,"MT","incoming"
"Slovakia","Netherlands",NA,"NL","incoming"
"Slovakia","Norway",NA,"NO","incoming"
"Slovakia","Poland",NA,"PL","incoming"
"Slovakia","Portugal",NA,"PT","incoming"
"Slovakia","Romania",0,"RO","incoming"
"Slovakia","Sweden",0,"SE","incoming"
"Slovakia","Slovenia",0,"SI","incoming"
"Slovakia","Slovakia",0,"SK","incoming"
"Slovakia","United Kingdom",0,"UK","incoming"
"Total","Austria",NA,"AT","incoming"
"Total","Belgium",1673,"BE","incoming"
"Total","Bulgaria",174,"BG","incoming"
"Total","Switzerland",933,"CH","incoming"
"Total","Cyprus",NA,"CY","incoming"
"Total","Czech Republic",NA,"CZ","incoming"
"Total","Germany (until 1990 former territory of the FRG)",1768,"DE","incoming"
"Total","Denmark",292,"DK","incoming"
"Total","Estonia",37,"EE","incoming"
"Total","Greece",2,"EL","incoming"
"Total","Spain",NA,"ES","incoming"
"Total","Finland",NA,"FI","incoming"
"Total","France",1725,"FR","incoming"
"Total","Croatia",28,"HR","incoming"
"Total","Hungary",827,"HU","incoming"
"Total","Ireland",67,"IE","incoming"
"Total","Iceland",NA,"IS","incoming"
"Total","Italy",NA,"IT","incoming"
"Total","Liechtenstein",0,"LI","incoming"
"Total","Lithuania",67,"LT","incoming"
"Total","Luxembourg",63,"LU","incoming"
"Total","Latvia",42,"LV","incoming"
"Total","Malta",271,"MT","incoming"
"Total","Netherlands",NA,"NL","incoming"
"Total","Norway",NA,"NO","incoming"
"Total","Poland",NA,"PL","incoming"
"Total","Portugal",NA,"PT","incoming"
"Total","Romania",41,"RO","incoming"
"Total","Sweden",0,"SE","incoming"
"Total","Slovenia",38,"SI","incoming"
"Total","Slovakia",98,"SK","incoming"
"Total","United Kingdom",69,"UK","incoming"
"United Kingdom","Austria",NA,"AT","incoming"
"United Kingdom","Belgium",51,"BE","incoming"
"United Kingdom","Bulgaria",2,"BG","incoming"
"United Kingdom","Switzerland",23,"CH","incoming"
"United Kingdom","Cyprus",NA,"CY","incoming"
"United Kingdom","Czech Republic",NA,"CZ","incoming"
"United Kingdom","Germany (until 1990 former territory of the FRG)",27,"DE","incoming"
"United Kingdom","Denmark",1,"DK","incoming"
"United Kingdom","Estonia",0,"EE","incoming"
"United Kingdom","Greece",0,"EL","incoming"
"United Kingdom","Spain",NA,"ES","incoming"
"United Kingdom","Finland",NA,"FI","incoming"
"United Kingdom","France",41,"FR","incoming"
"United Kingdom","Croatia",3,"HR","incoming"
"United Kingdom","Hungary",15,"HU","incoming"
"United Kingdom","Ireland",55,"IE","incoming"
"United Kingdom","Iceland",NA,"IS","incoming"
"United Kingdom","Italy",NA,"IT","incoming"
"United Kingdom","Liechtenstein",0,"LI","incoming"
"United Kingdom","Lithuania",2,"LT","incoming"
"United Kingdom","Luxembourg",0,"LU","incoming"
"United Kingdom","Latvia",0,"LV","incoming"
"United Kingdom","Malta",5,"MT","incoming"
"United Kingdom","Netherlands",NA,"NL","incoming"
"United Kingdom","Norway",NA,"NO","incoming"
"United Kingdom","Poland",NA,"PL","incoming"
"United Kingdom","Portugal",NA,"PT","incoming"
"United Kingdom","Romania",1,"RO","incoming"
"United Kingdom","Sweden",0,"SE","incoming"
"United Kingdom","Slovenia",3,"SI","incoming"
"United Kingdom","Slovakia",9,"SK","incoming"
"United Kingdom","United Kingdom",0,"UK","incoming"
